0,1,2,3,4
0,5,5,19,20
1,6,4,17,20
2,3,6,14,11
3,8,5,13,20
4,7,7,14,20
5,5,5,20,18
6,12,4,6,20
7,5,5,17,20
8,13,5,4,20
9,6,5,18,19
10,7,4,12,20
11,6,7,20,14
12,3,5,20,20
13,7,2,15,20
14,12,5,4,20
15,6,7,16,20
16,6,5,19,18
17,7,5,15,20
18,14,12,6,7
19,8,7,12,20
20,3,5,19,19
21,5,4,17,20
22,9,6,11,20
23,8,5,14,20
24,6,3,16,20
25,6,4,18,20
26,9,8,3,1
27,6,10,1,1
28,4,5,20,20
29,9,9,12,14
30,3,7,20,16
31,5,5,19,20
32,10,2,12,20
33,7,7,15,20
34,8,5,14,20
35,5,6,20,16
36,9,3,13,20
37,7,4,15,20
38,6,7,19,17
39,9,4,12,20
40,12,5,5,20
41,8,4,14,20
42,7,7,11,20
43,10,6,9,20
44,11,24,2,2
45,7,7,13,20
46,8,5,12,20
47,6,10,11,14
48,9,5,10,20
49,3,8,1,1
50,7,4,13,20
51,5,5,18,20
52,5,7,18,20
53,9,25,2,2
54,6,7,18,19
55,7,6,17,20
56,6,5,18,20
57,9,7,12,20
58,6,5,14,20
59,9,4,12,20
60,4,5,20,17
61,18,14,2,2
62,9,4,12,20
63,4,5,20,20
64,6,5,18,20
65,6,8,20,14
66,8,3,14,19
67,19,17,1,3
68,5,4,20,20
69,7,5,15,20
70,9,3,11,20
71,7,8,15,20
72,12,4,4,20
73,8,2,13,20
74,8,5,12,20
75,6,5,16,20
76,5,4,20,20
77,9,5,11,20
78,8,4,11,20
79,6,7,16,20
80,8,4,13,20
81,7,5,14,20
82,6,3,17,20
83,7,2,16,20
84,4,7,17,20
85,22,5,1,1
86,3,6,20,19
87,7,7,15,20
88,6,4,17,20
89,5,10,1,1
90,8,2,14,20
91,5,8,17,20
92,9,7,1,1
93,8,3,14,20
94,8,5,14,20
95,7,4,14,20
96,8,7,12,20
97,7,5,16,20
98,8,5,12,20
99,9,5,10,20
100,10,6,12,20
101,3,8,20,18
102,12,4,4,20
103,6,7,15,20
104,12,4,6,20
105,10,4,11,20
106,8,3,14,20
107,4,4,18,20
108,5,5,20,18
109,7,6,20,14
110,7,6,14,19
111,3,6,20,20
112,13,5,4,19
113,7,4,13,20
114,5,6,20,18
115,6,5,17,20
116,15,26,1,1
117,5,6,20,16
118,7,4,16,20
119,4,4,20,20
120,4,5,20,20
121,5,4,20,20
122,6,2,16,20
123,5,8,18,20
124,11,5,5,20
125,8,4,14,20
126,8,3,14,20
127,6,5,20,19
128,12,4,5,20
129,7,3,14,20
130,7,5,13,20
131,7,6,16,20
132,8,23,1,1
133,10,7,10,20
134,6,4,15,20
135,2,4,20,20
136,7,5,14,20
137,8,5,13,20
138,6,4,16,20
139,8,5,15,20
140,7,5,12,20
141,5,7,17,20
142,8,5,15,20
143,5,7,19,14
144,12,22,5,3
145,6,7,20,16
146,7,8,18,16
147,9,3,12,20
148,6,5,13,20
149,4,5,17,20
150,5,5,20,20
151,8,2,14,20
152,10,4,7,20
153,9,7,11,19
154,6,7,16,20
155,8,2,14,20
156,5,7,20,16
157,3,4,20,20
158,13,11,2,1
159,6,6,20,16
160,8,4,12,20
161,5,4,20,20
162,8,6,12,20
163,8,5,15,20
164,5,5,17,20
165,8,2,14,20
166,8,4,14,20
167,8,7,13,20
168,8,6,12,20
169,7,4,14,20
170,7,7,13,20
171,6,6,20,16
172,5,7,17,20
173,5,7,20,14
174,12,5,6,20
175,6,8,20,15
176,9,7,10,20
177,9,5,11,20
178,15,17,1,1
179,4,5,20,19
180,19,21,1,1
181,4,6,20,20
182,8,4,14,20
183,7,7,14,20
184,11,4,6,20
185,3,8,20,18
186,9,3,14,20
187,5,3,20,20
188,9,5,12,20
189,6,7,20,14
190,5,2,18,20
191,6,8,20,14
192,7,3,16,20
193,5,7,19,19
194,7,5,14,20
195,8,6,14,20
196,4,8,17,20
197,7,5,17,20
198,4,4,17,20
199,5,7,20,14
200,11,4,7,20
201,6,17,1,1
202,7,5,18,19
203,4,6,20,19
204,10,2,12,20
205,7,4,14,20
206,4,5,19,20
207,4,6,20,18
208,11,4,7,20
209,5,4,20,20
210,9,17,12,8
211,11,4,8,20
212,8,6,9,20
213,5,3,19,20
214,3,7,19,20
215,4,4,17,20
216,8,5,14,20
217,7,4,13,20
218,9,3,14,20
219,4,5,20,18
220,5,4,20,20
221,7,2,16,20
222,5,5,18,20
223,9,7,13,20
224,5,4,18,20
225,5,4,17,20
226,7,7,12,20
227,24,7,1,1
228,6,5,15,20
229,5,4,20,20
230,9,7,13,20
231,11,4,6,20
232,19,10,1,4
233,4,3,18,20
234,6,4,16,20
235,3,4,19,20
236,6,19,2,1
237,7,4,14,20
238,8,3,14,20
239,4,7,20,15
240,10,5,11,20
241,6,1,18,20
242,4,4,17,20
243,10,7,11,20
244,8,5,15,20
245,8,5,15,20
246,6,5,18,20
247,22,7,1,1
248,11,4,10,20
249,5,4,20,20
250,3,8,20,14
251,11,4,8,20
252,7,4,19,18
253,3,3,20,20
254,9,19,2,1
255,3,4,20,20
256,9,3,12,20
257,7,4,16,20
258,8,6,12,20
259,3,9,16,13
260,9,19,5,2
261,8,2,14,20
262,15,18,9,4
263,7,7,16,20
264,7,5,14,20
265,6,5,16,20
266,6,4,18,20
267,8,6,12,20
268,5,7,20,16
269,10,4,8,20
270,11,4,6,20
271,7,4,14,20
272,4,6,19,19
273,3,7,20,16
274,7,3,14,20
275,6,4,16,20
276,12,5,6,19
277,3,3,19,20
278,7,3,14,20
279,4,5,17,20
280,8,7,11,19
281,3,4,20,20
282,6,8,14,20
283,6,4,18,20
284,5,5,18,20
285,9,6,10,20
286,7,3,16,20
287,6,15,1,1
288,7,7,12,20
289,7,5,14,19
290,11,4,8,20
291,4,4,17,20
292,8,4,15,20
293,6,4,18,20
294,4,6,19,19
295,8,4,14,20
296,7,3,16,20
297,5,4,17,20
298,6,5,16,20
299,7,2,16,20
